"Название (черновое)";"Категория";"Населённый пункт/район";"Адрес";"Дата публикации";"Источник";"Ссылка";"Достоверность"
"Социальный магазин открылся при мечети в Кокшетау";"Торговля";"Кокшетау";"";"2016-09-13";"Казахстанская правда";"https://news.google.com/rss/articles/CBMiggFBVV95cUxNTWcyQXpiVXp6SWZLRElKRF9kTXE0d2pnbUlKNEV0RFRaWGs1azR1ektrY09yM0haWExsdnpXX2M1NHpkS0pVRUJ1NW5HSGJMb0g1WHdMTFFwQ3RTZlp6VzdNYkx5VWI3MjlfZS1Rcmkwd3prWC1XSUhpTWVwWDc5WDhn?oc=5";"высокий"
"Магазин для бедных открыли при мечети в Кокшетау";"Торговля";"Кокшетау";"";"2016-09-12";"Informburo.kz";"https://news.google.com/rss/articles/CBMijwFBVV95cUxQbGNDVXdGdGl4M1BLMmxaOGhfQ3BWWl9nM2pzT29VQVNpMkl4TjhFbUxTYTRqUWxsVzFReGYzcTRsN1MtZ250dFprR0laaWpBalRzQUpLWDN0ai1OUlNRUGh2aG84UTA5bEU1UE9saFkxNXZCVFZmQUlKOEhycUlaWk5PM053T2VDZVlodzJMaw?oc=5";"высокий"
"Мечта, Технодом, Сулпак, Alser: кому на самом деле принадлежат крупнейшие магазины техники в Казахстане";"Торговля";"не определён";"";"2026-06-17";"DigitalBusiness.kz";"https://news.google.com/rss/articles/CBMi2AFBVV95cUxNT0ZGNjNROV96dHAycC1NN1ZSdFpKM3A2Y0t6QVh1YWp6ZU83VnVhUlBfZG54TC1XZ3VSZWU4VEJXTVNlaV9KSnV2Zl9rUFVGMFhoSlR0YnpPMy1BcU4xYklmNzVrcng3RVM0Y0VQQno5OTVLY0xwb3BYNXF4RXQ4N2dZdmdiNzJ4alZ0Y1p5dkZZUjdQNDF3OVhud0tzWGQ3Um4zcTU3RUpnZlNZRUI3OHJmSFF1WWZNVzVwNEFyb0prRURWSEh4Z3lxekwxT0h6TTlQNmtEMmTSAd4BQVVfeXFMT09GeTBDbVEweUI1dEhMZ19ueXluN3RpRzAzTlowWklOQlhseUNqRFBWcXNMYVcxX0MxR2hyUkpJREMzS0NwN1NTemhkQmRUV3p0U2pJeWV0WEttMDR4dk55LWF1VFFhaTlPZy1wOVo1cnFFQjBOcFJkcDk4NUhPb3hLSTJpS19uWGYtLWswaGFVOGNtYWs0WnlyN3ZnRm55SWJVQU95RUEtWTZoRmFfTlR0SXdHZTdjZEh4ZlNBVDZFYk5KclQxczl0bFFmM2JEc3ZtT01qWHExbW1PMmV3?oc=5";"низкий"
"Открыт новый магазин «Мечта» в Экибастузе!";"Торговля";"не определён";"";"2012-06-16";"Yvision.kz";"https://news.google.com/rss/articles/CBMie0FVX3lxTE95eHNMeWw1cEhxS2xFZWNWRjFXYTRaZWpXWm1ERlJHV0pNY1VjUE9ybTdieDlnVmdlRWRONkZsNG9qQjVRY2tMYkV5dmRQQ3JoZGFFZUJwaXFfbW9mbnR4WVUzOVRTZktHWVpMdEY4MTdQQjBIWC1YY0JyRQ?oc=5";"низкий"
"Магазин наказали за цены в рублях в Акмолинской области";"Торговля";"Акмолинск";"";"2025-12-09";"TengriNews";"https://news.google.com/rss/articles/CBMimAFBVV95cUxOSGYtUFpYaTA5VVh1UW9wcW9CVThmVUtYTU1wazg4dm1ZeW0yMlJzbzc1Yk11VkVOUl8yUnNoSXFZY2R6VGpTRk5IaW84RlJsZERzNHQ5WVRBNmd0ekR3Mlp4RGZnU1drejhtemZ1OU5ETGhpM09PZDJqQkNOS2hNRUtkZmIxdl90MkEtMnloUEpMVzU3NjIyTg?oc=5";"средний"
"Еще один магазин перешёл на рубли в Казахстане";"Торговля";"не определён";"";"2025-12-09";"Ulysmedia.kz";"https://news.google.com/rss/articles/CBMijgFBVV95cUxPcGoyaFVsNTVxOFE0T3oyeVdHOFZVTEM4aGZ5cTZ2OUJQOWQ0YTFXcWRhRWc5cTFMYnhDQlZRTGVyWGI4MVAxUTFxd1UtenZQQThGZ0VCR05KcFY4NWFYNkJvMWlCTUJZNUN6d1Y1a0NjWDRyeThLaVR0QmsxTmJIZERORHBndk1FaWU0bU1n0gGSAUFVX3lxTE92QzdxZ1QyZEhTOVhRaEE0S1g3RGlFRXlPMkNDc2x5cy1rbTN6SXVSanhCZ1lRNks3dl80cHVUM2c3bG1iamNDanFmTmZuUkp5SVJtU0ZBU2hHR1BXMEtzeF9YRVREaG1fUVhObkVKWS1KTDdqT2Fzd0V3MHZMVWdVdTcxZDNpaVF6SDZMbldYa05n?oc=5";"низкий"
"Казахстанский ритейл: аптеки, косметика и Fix Price вытесняют традиционные форматы";"Услуги";"не определён";"";"2025-10-28";"Logistics.ru";"https://news.google.com/rss/articles/CBMisAFBVV95cUxNenFseGVXX01SZ3djRXQ5YjRnbGphbDdVNmlWZFZCdkEyblZwSGRJQS1meDg0MGNhbURkMVc4b2JkaF9LNHpheUdSdkN2eXNfNURTUDBUS3JtMFlibTlkOXZpcFd6ODBoUXZhNzVzSGNZb2R1Rm1ndFRrZDFSU0w2M2JBbzlZYzkzWUpUamRnMEtodDlkMWVKSzdUeTJIYmd1NzE0YnE4d3pQMUk5cVVTdw?oc=5";"низкий"
"В Степногорске открылся социальный магазин";"Торговля";"Степногорск";"";"2026-07-03";"gurk.kz";"https://news.google.com/rss/articles/CBMidEFVX3lxTE9EX0NSaVgwSHBlX2o2ZE9kYWtlbEVCT24zMmV5bjg3Y2t2cVJaZTBEbk1XaERpczV1QXJxQmc0RFVxSC1tSTNrRy1mZzJudjduWkllZ2haa1liMXB0Q0hwU0wxQk05bXh0NzBCUG14ZVJLUUZS?oc=5";"высокий"
"Неподалеку от Астаны спасатели отстояли жилой дом при пожаре в магазине";"Торговля";"не определён";"";"2026-05-27";"Almaty.tv";"https://news.google.com/rss/articles/CBMirAFBVV95cUxPXzlHbUxRdjZ5UFpwaTNpSk4yNWF3RGkxRmViV1hESVVlZjc5TXVaMzBQbXNxN09HcDFOVVVwSTM0NG5lbGlndlFCWmJDQWFFMzF0cU5wQ0NzTjlrMWNLZDlJZGxrRFVUWUVsejgwb29xX2tHWWJTMVpMamZNaFktVXRVU0xLMmh2R0JpUTZ4VGFQOVBPUXhQSmJIM01MWTQxMTBJQVgzbi1CUTdt?oc=5";"низкий"
"В Аккольском районе Акмолинской области произошло дерзкое ограбление ювелирного магазина";"Торговля";"Акколь";"";"2026-05-11";"prg.kz";"https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhMldLMER1aDZQRGVPNHJFUk5DMFJQZk10dlJ3VTVyVFQteWFvSXdRT0dqRUpQT1hWXzFCdXRuNDBzNjZzTWx4WGc0TUFuQmxSTnc?oc=5";"средний"
